	Organism Name	Genome ID	Complete?	Assembly Level	Annotation Name	BUSCO	Reference genome?	Assembly Submission Date	Assembly Name	Assembly Accession Genbank	Assembly Accession RefSeq	Comments
1	Ammotragus lervia	9899	-	Scaffold	-	-	Yes	20/06/2017	ALER1.0	GCA_002201775.1	-	
1	Anoura caudifer	27642	-	Scaffold	-	-	Yes	16/01/2019	AnoCau_v1_BIUU	GCA_004027475.1	-	
1	Antechinomys laniger	60701	Partial	Contig	-	-	No	24/09/2021	ERS5079555 MarsupialExonCaptKit	GCA_904810915.1	-	Partial, Several genomes of same quality
1	Antechinus agilis	400481	Partial	Contig	-	-	No	24/09/2021	ERS5079871 MarsupialExonCaptKit	GCA_904814085.1	-	Partial 
1	Antechinus bellus	71384	Partial	Contig	-	-	No	24/09/2021	ERS5079823 MarsupialExonCaptKit	GCA_904813565.1	-	Partial
1	Antechinus flavipes	38775	-	Chromosome	NCBI Annotation Release 100	C:95.4%[S:93.6%,D:1.8%],F:0.7%,M:3.9%,n:9226	Yes	06/01/2021	AdamAnt_v2	GCA_016432865.2	GCF_016432865.1	
1	Antechinus godmani	71385	Partial	Contig	-	-	No	24/09/2021	ERS5079535 MarsupialExonCaptKit	GCA_904810635.1	-	Partial
1	Antechinus leo	65606	Partial	Contig	-	-	No	24/09/2021	ERS5079827 MarsupialExonCaptKit	GCA_904813635.1	-	Partial
1	Antechinus mimetes	2547910	Partial	Contig	-	-	No	24/09/2021	ERS5079557 MarsupialExonCaptKit	GCA_904810935.1	-	Partial
1	Antechinus minimus	71386	Partial	Contig	-	-	No	24/09/2021	ERS5079872 MarsupialExonCaptKit	GCA_904814075.1	-	Partial
1	Antechinus stuartii	9283	-	Scaffold	-	-	Yes	15/01/2021	USYD_AStu_M	GCA_016696395.1	-	
1	Antidorcas marsupialis	59523	-	Scaffold	-	-	Yes	24/06/2019	SGB	GCA_006408585.1	-	
1	Antilocapra americana	9891	-	Scaffold	-	-	Yes	12/07/2019	GSC_phorn_1.0	GCA_007570785.1	-	
1	Antrozous pallidus	9440	-	Chromosome	-	-	Yes	09/01/2023	DD_ASM_mAP_20210503	GCA_027563665.1	-	
1	Aotus nancymaae	37293	-	Scaffold	NCBI Annotation Release 101	C:97.3%[S:96.0%,D:1.3%],F:1.6%,M:1.1%,n:13780	Yes	09/06/2017	Anan_2.0	GCA_000952055.2	GCF_000952055.2	
1	Aplodontia rufa	51342	-	Scaffold	-	-	Yes	16/01/2019	AplRuf_v1_BIUU	GCA_004027875.1	-	
1	Apodemus speciosus	105296	-	Scaffold	-	-	Yes	12/09/2017	Aspe_assembly01	GCA_002335545.1	-	
1	Apodemus sylvaticus	10129	-	Chromosome	NCBI Annotation Release 100	C:99.3%[S:98.4%,D:0.9%],F:0.2%,M:0.5%,n:13798	Yes	28/10/2022	mApoSyl1.1	GCA_947179515.1	GCF_947179515.1	
1	Arctocephalus gazella	37190	-	Scaffold	-	-	Yes	08/02/2019	arcGaz3	GCA_900642305.1	-	
1	Arctocephalus townsendi	161921	-	Chromosome	-	-	Yes	16/02/2023	Arctocephalus_townsendi_HiC	GCA_028646355.1	-	
1	Artibeus jamaicensis	9417	-	Scaffold	GCF_021234435.1-RS_2023_02	C:98.5%[S:97.9%,D:0.6%],F:0.3%,M:1.1%,n:12234	Yes	20/12/2021	CSHL_Jam_final	GCA_021234435.1	GCF_021234435.1	
1	Arvicanthis niloticus	61156	-	Chromosome	NCBI Annotation Release 100	C:99.2%[S:97.0%,D:2.2%],F:0.3%,M:0.6%,n:13798	Yes	27/03/2020	mArvNil1.pat.X	GCA_011762505.1	GCF_011762505.1	
1	Arvicola amphibius	1047088	-	Chromosome	NCBI Annotation Release 101	C:98.7%[S:96.2%,D:2.5%],F:0.3%,M:1.0%,n:13798	Yes	15/05/2021	mArvAmp1.2	GCA_903992535.2	GCF_903992535.2	
1	Ateles geoffroyi	9509	-	Contig	-	-	Yes	17/06/2022	ASM2378355v1	GCA_023783555.1	-	
1	Ateles hybridus	129801	-	Scaffold	-	-	Yes	22/09/2021	ORGONE_01	GCA_916098195.1	-	
1	Axis porcinus	57737	-	Scaffold	-	-	Yes	20/11/2018	ASM379854v1	GCA_003798545.1	-	
1	Babyrousa celebensis	1303000	-	Chromosome	-	-	Yes	09/02/2023	Babyrousa_celebensis_HiC	GCA_028533215.1	-	
3	Balaenoptera acutorostrata scammoni	310752	-	Scaffold	NCBI Annotation Release 101	C:97.6%[S:96.3%,D:1.4%],F:1.1%,M:1.3%,n:13335	Yes	31/10/2013	BalAcu1.0	GCA_000493695.1	GCF_000493695.1	Higher species not available
1	Balaenoptera bonaerensis	33556	-	Scaffold	-	-	Yes	18/03/2015	ASM97880v1	GCA_000978805.1	-	
1	Balaenoptera musculus	9771	-	Chromosome	NCBI Annotation Release 100	C:98.3%[S:95.3%,D:3.0%],F:0.5%,M:1.3%,n:13335	Yes	02/10/2020	mBalMus1.pri.v3	GCA_009873245.3	GCF_009873245.2	
1	Balaenoptera physalus	9770	-	Scaffold	-	-	Yes	11/05/2022	SBiKF_Bphy_ph2	GCA_023338255.1	-	
1	Balaenoptera ricei	2746895	-	Chromosome	-	-	Yes	30/01/2023	mBalRic1.hap2	GCA_028023285.1	-	
1	Beatragus hunteri	59527	-	Scaffold	-	-	Yes	16/01/2019	BeaHun_v1_BIUU	GCA_004027495.1	-	
1	Bettongia anhydra	1636722	Partial	Contig	-	-	No	24/09/2021	ERS5079571 MarsupialExonCaptKit	GCA_904812045.1	-	Partial
1	Bettongia gaimardi	223568	Partial	Contig	-	-	No	24/09/2021	ERS5079539 MarsupialExonCaptKit	GCA_904810735.1	-	Partial
1	Bettongia lesueur	65621	Partial	Contig	-	-	No	24/09/2021	ERS5079780 MarsupialExonCaptKit	GCA_904813165.1	-	Partial
2	Bettongia penicillata  	69259	Partial	Contig	-	-	No	24/09/2021	ERS5079779 MarsupialExonCaptKit	GCA_904813155.1	-	Partial
-	Bettongia penicillata ogilbyi	881300	-	Scaffold	-	-	Yes	25/05/2022	mBetpen1.pri.20210916	GCA_023548195.1	-	
1	Bettongia tropica	135160	Partial	Contig	-	-	No	24/09/2021	ERS5079895 MarsupialExonCaptKit	GCA_904814315.1	-	Partial
3	Bison bison bison	43346	-	Scaffold	NCBI Annotation Release 100	C:95.2%[S:94.7%,D:0.6%],F:2.5%,M:2.2%,n:13335	Yes	08/10/2014	Bison_UMD1.0	GCA_000754665.1	GCF_000754665.1	Higher species not available
1	Bos frontalis	30520	-	Scaffold	-	-	Yes	05/08/2019	NRC_Mithun_1	GCA_007844835.1	-	
1	Bos gaurus	9904	-	Chromosome	-	-	Yes	14/08/2020	ARS_UOA_Gaur_1.1	GCA_014182915.2	-	
1	Bos grunniens	30521	-	Chromosome	-	-	Yes	10/06/2019	BosGru3.1	GCA_005887515.3	-	
1	Bos indicus	9915	-	Chromosome	NCBI Annotation Release 100	C:92.9%[S:91.9%,D:1.0%],F:2.1%,M:5.0%,n:13335	Yes	25/11/2014	Bos_indicus_1.0	GCA_000247795.2	GCF_000247795.1	
1	Bos mutus	72004	-	Scaffold	NCBI Annotation Release 101, Annotation submitted by BGI-shenzhen	C:97.0%[S:96.5%,D:0.5%],F:2.1%,M:0.9%,n:13335	Yes	09/01/2013	BosGru_v2.0	GCF_000298355.1	GCF_000298355.1	
1	Bos taurus	9913	-	Chromosome	NCBI eukaryotic genome annotation pipeline	-	Yes	11/04/2018	ARS-UCD1.3	GCA_002263795.3	GCF_002263795.2	
1	Bradypus variegatus	9355	-	Scaffold	-	-	Yes	16/01/2019	BraVar_v1_BIUU	GCA_004027775.1	-	
1	Bubalus bubalis	89462	-	Chromosome	NCBI Annotation Release 103	C:98.4%[S:97.0%,D:1.5%],F:0.4%,M:1.2%,n:13335	Yes	10/09/2021	NDDB_SH_1	GCA_019923935.1	GCF_019923935.1	Higher busco available
1	Bubalus depressicornis	27596	-	Scaffold	-	-	Yes	05/10/2022	MNHNYannick_LA_1	GCA_025584935.1	-	
1	Budorcas taxicolor	37181	-	Chromosome	NCBI Annotation Release 100	C:98.9%[S:96.4%,D:2.5%],F:0.2%,M:0.9%,n:13335	Yes	22/04/2022	Takin1.1	GCA_023091745.2	GCF_023091745.1	
1	Burramys parvus	38600	Partial	Contig	-	-	No	24/09/2021	ERS5079774 MarsupialExonCaptKit	GCA_904813065.1	-	Partial
1	Callithrix jacchus	9483	-	Chromosome	NCBI Annotation Release 105	C:98.2%[S:95.6%,D:2.6%],F:0.4%,M:1.4%,n:13780	Yes	22/05/2020	Callithrix_jacchus_cj1700_1.1	GCA_009663435.2	GCF_009663435.1	
1	Callorhinus ursinus	34884	-	Scaffold	NCBI Annotation Release 100	C:97.9%[S:86.0%,D:11.9%],F:0.5%,M:1.6%,n:14502	Yes	26/06/2018	ASM326570v1	GCA_003265705.1	GCF_003265705.1	
1	Caloprymnus campestris	223567	Partial	Contig	-	-	No	24/09/2021	ERS5079573 MarsupialExonCaptKit	GCA_904811975.1	-	Partial
1	Caluromys derbianus	992409	Partial	Contig	-	-	No	24/09/2021	ERS5079519 MarsupialExonCaptKit	GCA_904810665.1	-	Partial
1	Camelus bactrianus	9837	-	Scaffold	NCBI Annotation Release 102	C:97.0%[S:96.3%,D:0.7%],F:1.6%,M:1.4%,n:13335	Yes	23/10/2014	Ca_bactrianus_MBC_1.0	GCA_000767855.1	GCF_000767855.1	
1	Camelus dromedarius	9838	-	Chromosome	NCBI Annotation Release 101, Annotation submitted by Vetmeduni Vienna	C:98.4%[S:97.8%,D:0.6%],F:0.7%,M:0.9%,n:13335	Yes	07/10/2019	CamDro3	GCA_000803125.3	GCF_000803125.2	
1	Camelus ferus	419612	-	Chromosome	NCBI Annotation Release 102	C:97.8%[S:96.9%,D:0.9%],F:0.7%,M:1.5%,n:13335	Yes	08/01/2020	BCGSAC_Cfer_1.0	GCA_009834535.1	GCF_009834535.1	
2	Canis lupus	9612	-	Chromosome	-	-	No	26/03/2021	mCanLor1.2	GCA_905319855.2	-	
-	Canis lupus dingo	286419	-	Chromosome	NCBI Annotation Release 102	C:97.9%[S:95.6%,D:2.3%],F:0.3%,M:1.8%,n:14502	Yes	11/09/2020	ASM325472v2	GCA_003254725.2	GCF_003254725.2	Higher busco available
-	Canis lupus familiaris	9615	-	Chromosome	NCBI Annotation Release 106	C:96.9%[S:95.1%,D:1.8%],F:0.4%,M:2.6%,n:14502	Yes	06/10/2020	Dog10K_Boxer_Tasha	GCA_000002285.4	GCF_000002285.5	Higher busco available
1	Capra aegagrus	9923	-	Chromosome	-	-	Yes	24/04/2015	CapAeg_1.0	GCA_000978405.1	-	
1	Capra hircus	9925	-	Chromosome	NCBI eukaryotic genome annotation pipeline	-	Yes	24/08/2016	ARS1.2	GCA_001704415.2	GCF_001704415.2	
1	Capra ibex	72542	-	Scaffold	-	-	Yes	24/06/2019	IBX	GCA_006410555.1	-	
1	Capra sibirica	72544	-	Scaffold	-	-	Yes	30/10/2018	ASM318261v2	GCA_003182615.2	-	
1	Capreolus capreolus	9858	-	Scaffold	-	-	Yes	09/09/2014	kmer631	GCA_000751575.1	-	
1	Capreolus pygargus	48560	-	Scaffold	-	-	Yes	28/04/2020	ASM1292296v1	GCA_012922965.1	-	
1	Capromys pilorides	34842	-	Scaffold	-	-	Yes	16/01/2019	CapPil_v1_BIUU	GCA_004027915.1	-	
1	Caracal caracal	61394	-	Scaffold	-	-	Yes	02/02/2021	CarCar1.0	GCA_016801355.1	-	
1	Carlito syrichta	1868482	-	Scaffold	NCBI Annotation Release 101	C:86.2%[S:85.0%,D:1.2%],F:7.5%,M:6.4%,n:13780	Yes	18/09/2013	Tarsius_syrichta-2.0.1	GCA_000164805.2	GCF_000164805.1	
1	Carollia perspicillata	40233	-	Scaffold	-	-	Yes	16/01/2019	CarPer_v1_BIUU	GCA_004027735.1	-	
1	Castor canadensis	51338	-	Scaffold	NCBI Annotation Release 100	C:92.4%[S:91.1%,D:1.3%],F:4.4%,M:3.2%,n:13798	Yes	04/02/2017	C.can genome v1.0	GCA_001984765.1	GCF_001984765.1	
1	Catagonus wagneri	51154	-	Scaffold	-	-	Yes	15/07/2019	CatWag_v2_BIUU_UCD	GCA_004024745.2	-	
1	Cavia aperea	37548	-	Scaffold	-	-	Yes	21/01/2014	CavAp1.0	GCA_000688575.1	-	
1	Cavia porcellus	10141	-	Scaffold	NCBI Annotation Release 103	C:97.2%[S:96.4%,D:0.8%],F:1.2%,M:1.6%,n:13798	Yes	03/03/2008	Cavpor3.0	GCA_000151735.1	GCF_000151735.1	
1	Cavia tschudii	143287	-	Scaffold	-	-	Yes	16/01/2019	CavTsc_v1_BIUU	GCA_004027695.1	-	
1	Cebus albifrons	9514	-	Contig	-	-	Yes	17/06/2022	ASM2378357v1	GCA_023783575.1	-	
1	Cebus imitator	2715852	-	Scaffold	NCBI Annotation Release 101	C:97.6%[S:95.6%,D:2.0%],F:1.3%,M:1.0%,n:13780	Yes	04/04/2016	Cebus_imitator-1.0	GCA_001604975.1	GCF_001604975.1	
1	Cephalopachus bancanus	9477	-	Contig	-	-	Yes	23/12/2022	ASM2725705v1	GCA_027257055.1	-	
1	Cephalophus harveyi	129224	-	Scaffold	-	-	Yes	24/06/2019	HVD	GCA_006410635.1	-	
3	Ceratotherium simum cottoni	310713	-	Chromosome	-	-	No	12/01/2022	CerSimCot1.0	GCA_021442165.1	-	Higher species not available
-	Ceratotherium simum simum	73337	-	Scaffold	NCBI Annotation Release 101	C:98.8%[S:98.5%,D:0.3%],F:0.6%,M:0.6%,n:12234	Yes	31/07/2012	CerSimSim1.0	GCA_000283155.1	GCF_000283155.1	Higher species not available
1	Cercartetus caudatus	38602	Partial	Contig	-	-	No	24/09/2021	ERS5079576 MarsupialExonCaptKit	GCA_904811095.1	-	Partial
1	Cercartetus concinnus	190651	Partial	Contig	-	-	No	24/09/2021	ERS5079553 MarsupialExonCaptKit	GCA_904810795.1	-	Partial
1	Cercartetus lepidus	190652	Partial	Contig	-	-	No	24/09/2021	ERS5079522 MarsupialExonCaptKit	GCA_904810685.1	-	Partial
1	Cercartetus nanus	190653	Partial	Contig	-	-	No	24/09/2021	ERS5079800 MarsupialExonCaptKit	GCA_904813375.1	-	Partial
1	Cercocebus atys	9531	-	Scaffold	NCBI Annotation Release 100	C:98.7%[S:98.2%,D:0.4%],F:0.7%,M:0.6%,n:13780	Yes	19/03/2015	Caty_1.0	GCA_000955945.1	GCF_000955945.1	
1	Cercopithecus albogularis	867370	-	Contig	-	-	Yes	17/06/2022	ASM2378353v1	GCA_023783535.1	-	
1	Cercopithecus mitis	36225	-	Chromosome	-	-	Yes	16/02/2023	Cercopithecus_mitis_HiC	GCA_028627265.1	-	
1	Cercopithecus mona	36226	-	Scaffold	-	-	Yes	05/10/2020	KIZ_CMon_1.0	GCA_014849445.1	-	
1	Cercopithecus neglectus	36227	-	Scaffold	-	-	Yes	16/01/2019	CertNeg_v1_BIUU	GCA_004027615.1	-	
1	Cervus albirostris	1088058	-	Scaffold	-	-	Yes	24/06/2019	WLD	GCA_006408465.1	-	
1	Cervus canadensis	1574408	-	Chromosome	NCBI Annotation Release 100	C:97.8%[S:94.3%,D:3.5%],F:0.5%,M:1.6%,n:13335	Yes	26/07/2021	ASM1932006v1	GCA_019320065.1	GCF_019320065.1	
1	Cervus elaphus	9860	-	Chromosome	NCBI Annotation Release 100	C:99.0%[S:95.5%,D:3.5%],F:0.3%,M:0.7%,n:13335	Yes	07/07/2021	mCerEla1.1	GCA_910594005.1	GCF_910594005.1	
3	Cervus hanglu yarkandensis	84702	-	Chromosome	Annotation submitted by Institute of Special Wild Economic Animals and Plants, Chinese Academy of Agricultural Sciences	-	Yes	12/02/2020	CEY_v1	GCA_010411085.1	-	
1	Chaetophractus vellerosus	340076	-	Scaffold	-	-	Yes	16/01/2019	ChaVel_v1_BIUU	GCA_004027955.1	-	
1	Cheirogaleus medius	9460	-	Scaffold	-	-	Yes	26/08/2019	ASM808673v1	GCA_008086735.1	-	
1	Chinchilla lanigera	34839	-	Scaffold	NCBI Annotation Release 101	C:98.8%[S:98.2%,D:0.6%],F:0.5%,M:0.7%,n:13798	Yes	28/08/2012	ChiLan1.0	GCA_000276665.1	GCF_000276665.1	
1	Chlorocebus aethiops	9534	-	Contig	-	-	Yes	17/06/2022	ASM2378351v1	GCA_023783515.1	-	
1	Chlorocebus sabaeus	60711	-	Scaffold	NCBI Annotation Release 102	C:98.4%[S:96.7%,D:1.8%],F:0.6%,M:1.0%,n:13780	Yes	06/11/2020	Vero_WHO_p1.0	GCA_015252025.1	GCF_015252025.1	
1	Choloepus didactylus	27675	-	Chromosome	NCBI Annotation Release 100	C:97.7%[S:91.7%,D:5.9%],F:0.6%,M:1.8%,n:11366	Yes	03/11/2020	mChoDid1.pri	GCA_015220235.1	GCF_015220235.1	
1	Choloepus hoffmanni	9358	-	Scaffold	-	-	Yes	30/09/2014	C_hoffmanni-2.0.1	GCA_000164785.2	-	
1	Chrysochloris asiatica	185453	-	Scaffold	NCBI Annotation Release 100	C:97.5%[S:96.7%,D:0.9%],F:0.9%,M:1.5%,n:11366	Yes	19/09/2012	ChrAsi1.0	GCA_000296735.1	GCF_000296735.1	
1	Chrysocyon brachyurus	68728	-	Chromosome	-	-	Yes	09/02/2023	Chrysocyon_brachyurus_HiC	GCA_028533335.1	-	
1	Coendou prehensilis	187985	-	Chromosome	-	-	Yes	09/02/2023	Coendou_prehensilis_HiC	GCA_028534165.1	-	
3	Colobus angolensis palliatus	336983	-	Scaffold	NCBI Annotation Release 100	C:96.2%[S:95.5%,D:0.8%],F:2.5%,M:1.3%,n:13780	Yes	12/03/2015	Cang.pa_1.0	GCA_000951035.1	GCF_000951035.1	Higher species not available
1	Colobus guereza	33548	-	Chromosome	-	-	Yes	19/01/2022	ASM2149845v1	GCA_021498455.1	-	
1	Condylura cristata	143302	-	Scaffold	NCBI Annotation Release 101	C:92.6%[S:92.2%,D:0.4%],F:2.4%,M:5.0%,n:12234	Yes	01/05/2012	ConCri1.0	GCA_000260355.1	GCF_000260355.1	
1	Connochaetes taurinus	9927	-	Scaffold	-	-	Yes	24/06/2019	BWD	GCA_006408615.1	-	
1	Corynorhinus townsendii	124745	-	Scaffold	-	-	Yes	18/11/2022	mCorTow1.0.hap2	GCA_026230045.1	-	
1	Craseonycteris thonglongyai	208972	-	Scaffold	-	-	Yes	16/01/2019	CraTho_v1_BIUU	GCA_004027555.1	-	
1	Cricetomys ansorgei	1157628	-	Scaffold	-	-	Yes	17/11/2022	Cans_v1.0_COR	GCA_026225945.1	-	
1	Cricetomys gambianus	10085	-	Scaffold	-	-	Yes	16/01/2019	CriGam_v1_BIUU	GCA_004027575.1	-	
1	Cricetulus griseus	10029	-	Scaffold	NCBI Annotation Release 104, Annotation submitted by Beijing Genomics Institute	C:94.7%[S:93.1%,D:1.6%],F:2.6%,M:2.7%,n:13798	Yes	23/08/2011	CriGri_1.0	GCF_000223135.1	GCF_000223135.1	Higher busco available
1	Crocidura indochinensis	876679	-	Scaffold	-	-	Yes	16/01/2019	CroInd_v1_BIUU	GCA_004027635.1	-	
1	Crocuta crocuta	9678	-	Scaffold	Annotation submitted by BGI	-	Yes	07/10/2019	BGI_CrCroc_1.0	GCA_008692635.1	-	
1	Cryptoprocta ferox	94188	-	Chromosome	-	-	Yes	16/02/2023	Cryptoprocta_ferox_HiC	GCA_028646485.1	-	
1	Cryptotis parvus	183661	-	Contig	-	-	Yes	13/01/2022	Cryptotis parva assembly 1.0	GCA_021461705.1	-	
1	Ctenodactylus gundi	10166	-	Scaffold	-	-	Yes	16/01/2019	CteGun_v1_BIUU	GCA_004027205.1	-	
1	Ctenomys sociabilis	43321	-	Scaffold	-	-	Yes	16/01/2019	CteSoc_v1_BIUU	GCA_004027165.1	-	
1	Cuniculus paca	108852	-	Scaffold	-	-	Yes	22/03/2019	CunPac_v1_BIUU	GCA_004365215.1	-	
1	Cynocephalus volans	110931	-	Chromosome	-	-	Yes	28/12/2022	mCynVol1.pri	GCA_027409185.1	-	
1	Cynomys gunnisoni	45479	-	Scaffold	-	-	Yes	16/03/2020	ASM1131664v1	GCA_011316645.1	-	
1	Cynopterus brachyotis	58060	-	Scaffold	-	-	Yes	23/12/2019	ASM979314v1	GCA_009793145.1	-	
1	Dactylopsila palpator	65607	Partial	Contig	-	-	No	24/09/2021	ERS5079526 MarsupialExonCaptKit	GCA_904810675.1	-	Partial
1	Dactylopsila trivirgata	38616	Partial	Contig	-	-	No	24/09/2021	ERS5079588 MarsupialExonCaptKit	GCA_904811055.1	-	Partial
1	Damaliscus lunatus	9929	-	Scaffold	-	-	Yes	24/06/2019	CTB	GCA_006408505.1	-	
1	Dasycercus blythi	1981332	Partial	Contig	-	-	No	24/09/2021	ERS5079874 MarsupialExonCaptKit	GCA_904814135.1	-	Partial
1	Dasycercus cristicauda	32542	Partial	Contig	-	-	No	24/09/2021	ERS5079844 MarsupialExonCaptKit	GCA_904813795.1	-	Partial
1	Dasykaluta rosamondae	33560	Partial	Contig	-	-	No	24/09/2021	ERS5079531 MarsupialExonCaptKit	GCA_904810525.1	-	Partial
1	Dasyprocta punctata	34846	-	Scaffold	-	-	Yes	22/03/2019	DasPun_v1_BIUU	GCA_004363535.1	-	
1	Dasypus novemcinctus	9361	-	Scaffold	NCBI eukaryotic genome annotation pipeline	-	Yes	06/01/2012	Dasnov3.2	GCA_000208655.4	GCF_000208655.3	
1	Dasyuroides byrnei	32544	Partial	Contig	-	-	No	24/09/2021	ERS5079521 MarsupialExonCaptKit	GCA_904810555.1	-	Partial
1	Dasyurus albopunctatus	32545	Partial	Contig	-	-	No	24/09/2021	ERS5079853 MarsupialExonCaptKit	GCA_904813945.1	-	Partial
1	Dasyurus geoffroii	63143	Partial	Contig	-	-	No	24/09/2021	ERS5079771 MarsupialExonCaptKit	GCA_904813095.1	-	Partial
1	Dasyurus hallucatus	9280	Partial	Contig	-	-	No	24/09/2021	ERS5079559 MarsupialExonCaptKit	GCA_904810955.1	-	Partial
1	Dasyurus maculatus	9281	Partial	Contig	-	-	No	24/09/2021	ERS5079781 MarsupialExonCaptKit	GCA_904813185.1	-	Partial
1	Dasyurus viverrinus	9279	-	Chromosome	-	-	Yes	12/11/2021	UniMelb_DasViv_v1.0	GCA_020854095.1	-	
1	Daubentonia madagascariensis	31869	-	Contig	-	-	Yes	17/06/2022	ASM2378347v1	GCA_023783475.1	-	
1	Delphinapterus leucas	9749	-	Scaffold	NCBI Annotation Release 101	C:98.6%[S:97.7%,D:0.9%],F:0.5%,M:0.9%,n:13335	Yes	29/08/2019	ASM228892v3	GCA_002288925.3	GCF_002288925.2	
3	Dendrolagus dorianus notatus	225043	-	Contig	-	-	No	28/01/2021	ERS5079541 MarsupialExonCaptKit	GCA_904810745.1	-	Partial, higher species not available
1	Desmodus rotundus	9430	-	Chromosome	NCBI eukaryotic genome annotation pipeline	C:98.1%[S:97.0%,D:1.1%],F:0.4%,M:1.5%,n:12234	Yes	24/03/2022	HLdesRot8A	GCA_022682495.1	GCF_022682495.1	
3	Dicerorhinus sumatrensis harrissoni	310711	-	Scaffold	-	-	Yes	14/08/2020	NRM_Dsumatrensis_v1.fasta	GCA_014189135.1	-	Higher species not available
-	Dicerorhinus sumatrensis sumatrensis	310712	-	Scaffold	-	-	No	19/12/2017	ASM284483v1	GCA_002844835.1	-	Higher species not available
2	Diceros bicornis  	9805	-	Chromosome	-	-	No	09/02/2023	Diceros_bicornis_HiC	GCA_028533375.1	-	
-	Diceros bicornis minor	77932	-	Chromosome	-	-	Yes	10/11/2021	mDicBic1.mat.cur	GCA_020826845.1	-	
1	Dicrostonyx torquatus	85952	-	Scaffold	-	-	Yes	08/02/2023	ASM2855509v1	GCA_028555095.1	-	
1	Dinomys branickii	108858	-	Scaffold	-	-	Yes	16/01/2019	DinBra_v1_BIUU	GCA_004027595.1	-	
1	Dipodomys merriami	94247	-	Scaffold	-	-	Yes	18/08/2022	mDipMer1.0.p	GCA_024711535.1	-	
1	Dipodomys ordii	10020	-	Scaffold	NCBI Annotation Release 100	C:93.8%[S:93.2%,D:0.6%],F:3.5%,M:2.7%,n:13798	Yes	12/12/2014	Dord_2.0	GCA_000151885.2	GCF_000151885.1	
1	Dipodomys spectabilis	105255	-	Contig	NCBI Annotation Release 100	C:98.2%[S:96.5%,D:1.7%],F:0.4%,M:1.5%,n:13798	Yes	29/06/2021	ASM1905484v1	GCA_019054845.1	GCF_019054845.1	
1	Dipodomys stephensi	323379	-	Scaffold	-	-	Yes	15/01/2019	DipSte_v1_BIUU	GCA_004024685.1	-	
1	Distoechurus pennatus	38614	Partial	Contig	-	-	No	24/09/2021	ERS5079812 MarsupialExonCaptKit	GCA_904813465.1	-	Partial
1	Dolichotis patagonum	29091	-	Scaffold	-	-	Yes	16/01/2019	DolPat_v1_BIUU	GCA_004027295.1	-	
1	Dorcopsis hageni	926694	Partial	Contig	-	-	No	24/09/2021	ERS5079856 MarsupialExonCaptKit	GCA_904813915.1	-	Partial
1	Dorcopsulus vanheurni	69270	Partial	Contig	-	-	No	24/09/2021	ERS5079802 MarsupialExonCaptKit	GCA_904813395.1	-	Partial
